S.No,Topic,Subtopic,Level,Question,question_image,Options (JSON),Solution (Correct Option Number),Explanation,image_url
11.0,Numbers,Remainder Theorem,medium,"When a positive integer is divided by a certain divisor, the remainder is 46. When twice that same integer is divided by the same divisor, the remainder is 37. What is the value of the divisor?",no image,"{""1"":""55"",""2"":""65"",""3"":""11"",""4"":""83""}",1.0,"Let the positive integer be N and the divisor be D. According to the remainder theorem, we can express the given information as two equations.
From the first condition: N = D * q1 + 46, where q1 is the quotient. This implies that the divisor D must be greater than the remainder, so D > 46.
From the second condition: 2N = D * q2 + 37, where q2 is the quotient. This implies D > 37. Combining both conditions gives D > 46.

Now, substitute the expression for N from the first equation into the second equation:
2 * (D * q1 + 46) = D * q2 + 37
2*D*q1 + 92 = D*q2 + 37
Rearranging the terms to isolate the constants: 92 - 37 = D*q2 - 2*D*q1
55 = D * (q2 - 2*q1)

This equation shows that 55 is a multiple of D, which means D must be a factor of 55. The factors of 55 are 1, 5, 11, and 55. Based on our earlier condition that D > 46, the only possible value for the divisor D is 55.

Option 2, 65, is incorrect. It may arise from a calculation error, for instance, 92 - 37 = 65. If D were a factor of 65 and greater than 46, D would be 65, but this is based on an incorrect subtraction.
Option 3, 11, is incorrect. While 11 is a factor of 55, it violates the fundamental rule of division that the divisor must be greater than the remainder (D > 46).
Option 4, 83, is incorrect. This value might be obtained by incorrectly adding the two remainders (46 + 37 = 83), which is not a valid operation for solving this problem.",
12.0,Numbers,Remainder Theorem,hard,"A polynomial P(x) leaves a remainder of `x + 2` when divided by `(x - 3)^2` and a remainder of `3x - 2` when divided by `(x - 1)^2`. If `R(x)` is the remainder when `P(x)` is divided by the expression shown in the image, what is the value of `R(7)`?",Remainder Theorem_1766390216246.png,"{""1"":""1"",""2"":""27"",""3"":""13"",""4"":""4""}",1.0,"Let the remainder when P(x) is divided by (x - 3)^2(x - 1) be R(x). Since the divisor is a polynomial of degree 3, the remainder R(x) must be a polynomial of at most degree 2. Let R(x) = ax^2 + bx + c. So, P(x) = (x - 3)^2(x - 1)Q(x) + ax^2 + bx + c for some polynomial Q(x).

We are given that when P(x) is divided by (x - 1)^2, the remainder is 3x - 2. By the Remainder Theorem, P(1) = 3(1) - 2 = 1. From our expression for P(x), P(1) = (1-3)^2(1-1)Q(1) + a(1)^2 + b(1) + c = a + b + c. Thus, we have our first equation: a + b + c = 1. (Eq. 1)

We are also given that when P(x) is divided by (x - 3)^2, the remainder is x + 2. Let's analyze our expression for P(x) again: P(x) = (x - 3)^2(x - 1)Q(x) + ax^2 + bx + c. When we divide this by (x - 3)^2, the term (x - 3)^2(x - 1)Q(x) is perfectly divisible and leaves no remainder. Therefore, the remainder of P(x) divided by (x - 3)^2 is the same as the remainder of (ax^2 + bx + c) divided by (x - 3)^2. Let's perform this division. The divisor is (x - 3)^2 = x^2 - 6x + 9. We can write ax^2 + bx + c = a(x^2 - 6x + 9) + (b + 6a)x + (c - 9a). The remainder is (b + 6a)x + (c - 9a). We are given that this remainder is x + 2. By comparing the coefficients of x and the constant terms, we get two more equations: b + 6a = 1 (Eq. 2) and c - 9a = 2 (Eq. 3).

Now we solve the system of three linear equations. From (Eq. 2), b = 1 - 6a. From (Eq. 3), c = 2 + 9a. Substituting these into (Eq. 1): a + (1 - 6a) + (2 + 9a) = 1. Simplifying, we get 4a + 3 = 1, which gives 4a = -2, so a = -1/2. Now we find b and c: b = 1 - 6(-1/2) = 1 + 3 = 4. c = 2 + 9(-1/2) = 2 - 9/2 = -5/2. The remainder polynomial is R(x) = (-1/2)x^2 + 4x - 5/2.

The question asks for the value of R(7). R(7) = (-1/2)(7)^2 + 4(7) - 5/2 = -49/2 + 28 - 5/2 = -54/2 + 28 = -27 + 28 = 1.

Option 2 is incorrect. It would be the result of R(7) if one mistakenly swapped the given remainders, leading to R(x) = (1/2)x^2 + 5/2. Option 3 is incorrect. It is the result of wrongly assuming the remainder is linear, R(x) = 2x - 1, which gives R(7)=13. This is a flawed assumption as the divisor is cubic. Option 4 is incorrect. It arises from a calculation error, such as setting b+6a=2 instead of b+6a=1, leading to a different R(x) and R(7)=4.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Remainder_Theorem_1766390216246.png?
13.0,Numbers,HCF and LCM,easy,"Two bells toll at intervals of 15 minutes and 25 minutes, respectively. If they toll together at 9:00 AM, at what time will they next toll together?",no image,"{""1"":""9:40 AM"",""2"":""10:00 AM"",""3"":""10:15 AM"",""4"":""11:15 AM""}",3.0,"Option 3 is correct. To find when the bells will toll together again, we need to find the Least Common Multiple (LCM) of their tolling intervals, which are 15 and 25 minutes. The multiples of 15 are 15, 30, 45, 60, 75, 90, ... The multiples of 25 are 25, 50, 75, 100, ... The smallest number that appears in both lists (the LCM) is 75. Therefore, the bells will toll together again after 75 minutes. 75 minutes is equal to 1 hour and 15 minutes. Adding this to the starting time of 9:00 AM gives 10:15 AM.

Option 1 is incorrect because 40 is not a multiple of 15 or 25. Option 2 is incorrect because 60 minutes (10:00 AM) is a multiple of 15 but not of 25. Option 4 is incorrect because 135 minutes (11:15 AM) is a common multiple, but it is not the *least* common multiple.",
14.0,Numbers,HCF and LCM,medium,"Two numbers, P and Q, are defined by their prime factorizations as shown in the image. What is the difference between the Least Common Multiple (LCM) and the Highest Common Factor (HCF) of P and Q?",HCF and LCM_1766390276611.png,"{""1"":""22644"",""2"":""22680"",""3"":""22716"",""4"":""36""}",1.0,"The correct option is 1.

To find the HCF of P and Q, we take the lowest power of each common prime factor. The common prime factors are 2 and 3. The lowest power of 2 is 2² and the lowest power of 3 is 3². Therefore, HCF(P, Q) = 2² × 3² = 4 × 9 = 36.

To find the LCM of P and Q, we take the highest power of all prime factors present in either number. The prime factors are 2, 3, 5, and 7. The highest power of 2 is 2³, the highest power of 3 is 34, the highest power of 5 is 5¹, and the highest power of 7 is 7¹. Therefore, LCM(P, Q) = 2³ × 34 × 5¹ × 7¹ = 8 × 81 × 5 × 7 = 22680.

The difference between the LCM and HCF is 22680 - 36 = 22644.

Option 2 is incorrect because 22680 is the LCM of the two numbers, not the difference between the LCM and HCF. Option 3 is incorrect because 22716 is the sum of the LCM and HCF (22680 + 36), not the difference. Option 4 is incorrect because 36 is the HCF of the two numbers, not the difference.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/HCF_and_LCM_1766390276611.png?
15.0,Numbers,HCF and LCM,hard,"Let A, B, and C be three natural numbers. The HCF of these three numbers is H. It is given that A = 2H and B = 3H. The product of the HCF and LCM of A, B, and C is 3024. What is the smallest possible value for the third number, C?",no image,"{""1"":""168"",""2"":""336"",""3"":""112"",""4"":""28""}",1.0,"Let the three numbers be A, B, and C. Their HCF is H and their LCM is L. We are given A = 2H and B = 3H. Since H is the HCF of all three numbers, C must also be a multiple of H. Let C = kH for some natural number k.

The three numbers are 2H, 3H, and kH. The HCF of these numbers is H * HCF(2, 3, k). Since we are given that the HCF is H, it implies that HCF(2, 3, k) = 1. This condition holds true for any integer k, as HCF(2, 3) is already 1.

The LCM of these numbers is L = H * LCM(2, 3, k) = H * LCM(6, k).

We are given the product H * L = 3024. Substituting the expression for L, we get:
H * [H * LCM(6, k)] = 3024
H² * LCM(6, k) = 3024

First, we find the prime factorization of 3024: 3024 = 24 * 3³ * 7.
Since H² is a factor of 3024, H² must be a perfect square that divides 3024. The perfect square factors of 3024 are 1, 4, 9, 36, and 144. We test each possible value of H to find the smallest possible value for C = kH.

Case 1: H² = 144 => H = 12.
144 * LCM(6, k) = 3024 => LCM(6, k) = 21. The LCM of 6 and any other number must be a multiple of 6 (and therefore even), but 21 is odd. So, this case is impossible.

Case 2: H² = 36 => H = 6.
36 * LCM(6, k) = 3024 => LCM(6, k) = 84. (84 = 2² * 3 * 7). For LCM(6, k) to be 84, k must provide the factors 2² and 7. The smallest such k is LCM(4, 7) = 28. Then C = kH = 28 * 6 = 168.

Case 3: H² = 9 => H = 3.
9 * LCM(6, k) = 3024 => LCM(6, k) = 336. (336 = 24 * 3 * 7). For LCM(6, k) to be 336, k must provide the factors 24 and 7. The smallest such k is LCM(16, 7) = 112. Then C = kH = 112 * 3 = 336.

Case 4: H² = 4 => H = 2.
4 * LCM(6, k) = 3024 => LCM(6, k) = 756. (756 = 2² * 3³ * 7). For LCM(6, k) to be 756, k must provide 2², 3³, and 7. Smallest k = LCM(4, 27, 7) = 756. Then C = kH = 756 * 2 = 1512.

Case 5: H² = 1 => H = 1.
1 * LCM(6, k) = 3024. (3024 = 24 * 3³ * 7). For LCM(6, k) to be 3024, k must provide 24, 3³, and 7. Smallest k = LCM(16, 27, 7) = 3024. Then C = kH = 3024 * 1 = 3024.

Comparing the possible values for C (168, 336, 1512, 3024), the smallest is 168. Therefore, option 1 is correct.

Option 2, 336, is a possible value for C but arises when H=3, and it is not the smallest possible value.
Option 3, 112, is the value of k for the case H=3, not the value of C (which is kH).
Option 4, 28, is the value of k for the case H=6, which gives the minimal C. This is a common mistake where the value of k is reported instead of C = kH.",
16.0,Numbers,Factorial,easy,What is the value of the expression shown in the image?,Factorial_1766391312914.png,"{""1"":""120"",""2"":""720"",""3"":""21"",""4"":""360""}",2.0,"The correct answer is 720.

The expression shown is 6!, which is read as ""6 factorial"". The factorial of a non-negative integer 'n', denoted by n!, is the product of all positive integers less than or equal to n. Therefore, 6! is calculated as 6 × 5 × 4 × 3 × 2 × 1. Performing the multiplication: 6 × 5 = 30, 30 × 4 = 120, 120 × 3 = 360, 360 × 2 = 720, and 720 × 1 = 720.

Option 1, 120, is incorrect because it is the value of 5! (5 × 4 × 3 × 2 × 1). Option 3, 21, is incorrect as it is the sum of the integers from 1 to 6 (1+2+3+4+5+6), not their product. Option 4, 360, is incorrect; it is half the value of 720 and may result from a calculation error, such as omitting the multiplication by 2.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Factorial_1766391312914.png?
17.0,Numbers,Factorial,medium,"If the equation shown is true, find the value of x.",Factorial_1766391385145.png,"{""1"":""90"",""2"":""10"",""3"":""1"",""4"":""100""}",4.0,"Option 4 is the correct answer. To solve the given equation, we need to find a common denominator for the terms on the left-hand side. The term 1/9! can be rewritten using the factorial property n! = n * (n-1)!. So, 9! = 9 * 8!.

The equation becomes 1/8! + 1/(9*8!) = x/10!. We can take 1/8! as a common factor on the left side: (1/8!) * (1 + 1/9) = x/10!. Simplifying the expression in the parenthesis gives (1/8!) * (10/9) = x/10!. This is equivalent to 10/(9*8!) = x/10!, which simplifies to 10/9! = x/10!.

To find x, we can rearrange the equation: x = 10 * (10!/9!). Since 10! = 10 * 9!, the fraction 10!/9! simplifies to 10. Therefore, x = 10 * 10, which equals 100.

Option 1 is incorrect. This value would be obtained if one incorrectly assumed the equation was 1/8! = x/10!, which would lead to x = 10!/8! = 10 * 9 = 90. This ignores the 1/9! term.

Option 2 is incorrect. This error likely arises from simplifying 10/9! = x/10! to x=10 by ignoring the different denominators, or by incorrectly solving for a simplified equation like x/10! = 1/9!, which gives x = 10!/9! = 10. This ignores the 1/8! term.

Option 3 is incorrect. This might result from an algebraic mistake after reaching 10/9! = x/10!. If one incorrectly cross-multiplies to get 10 * 9! = x * 10!, it would lead to x = (10 * 9!) / (10 * 9!) = 1.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Factorial_1766391385145.png?
18.0,Numbers,Factorial,hard,"Let the function F(n) be defined by the summation shown in the image, where n is a positive integer. What is the value of F(14)?",Factorial_1766391420007.png,"{""1"":""(15! - 1) / 15!"",""2"":""(14! - 1) / 14!"",""3"":""14 / 15!"",""4"":""1""}",1.0,"The correct option is 1.

The core of this problem is to simplify the general term of the summation, k / (k+1)!. We can rewrite the numerator k as (k+1) - 1. This allows us to split the fraction. The term becomes ((k+1) - 1) / (k+1)! which is equal to (k+1)/(k+1)! - 1/(k+1)!. Using the property that (k+1)! = (k+1) * k!, the first part simplifies to 1/k!. So, the general term simplifies to 1/k! - 1/(k+1)!.

Now, the summation becomes a telescoping series: F(n) = sum from k=1 to n of [1/k! - 1/(k+1)!]. Let's write out the first few and the last terms: F(n) = (1/1! - 1/2!) + (1/2! - 1/3!) + (1/3! - 1/4!) + ... + (1/n! - 1/(n+1)!). The -1/2! from the first term cancels with the 1/2! from the second term, and this pattern continues. All intermediate terms cancel out, leaving only the very first term (1/1!) and the very last term (-1/(n+1)!).

Therefore, the sum simplifies to F(n) = 1/1! - 1/(n+1)! = 1 - 1/(n+1)!. For n=14, this gives F(14) = 1 - 1/(14+1)! = 1 - 1/15!. To write this as a single fraction, we get (15!/15!) - (1/15!) = (15! - 1) / 15!.

Option 2, (14! - 1) / 14!, is incorrect. This would be the result if the sum simplified to 1 - 1/n!, which is a common off-by-one error in evaluating the telescoping series. Option 3, 14 / 15!, is incorrect and results from naively evaluating only the last term of the sum for k=14. Option 4, 1, is incorrect. This would be the value if the last term -1/(n+1)! was mistakenly ignored or cancelled, or by confusing the finite sum with its limit as n approaches infinity.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Factorial_1766391420007.png?
19.0,Data Interpretation,Bar Graph,easy,The bar graph shows the number of books sold by a store from Monday to Friday. How many books were sold on Thursday?,Bar Graph_1766391459295.png,"{""1"":""60"",""2"":""50"",""3"":""80"",""4"":""70""}",3.0,"To solve the question, we need to read the value corresponding to 'Thursday' from the bar graph. Find the bar labeled 'Thu' on the horizontal axis. Trace this bar up to its top and then read the corresponding value on the vertical axis. The top of the bar for Thursday aligns with the 80 mark on the 'Books Sold' axis. Therefore, 80 books were sold on Thursday.

Option 1 is incorrect because 60 books were sold on Tuesday. Option 2 is incorrect as 50 books were sold on Wednesday. Option 4 is incorrect because 70 books were sold on Friday.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Bar_Graph_1766391459295.png?
20.0,Data Interpretation,Bar Graph,medium,"The bar graph shows the number of students enrolled in three different streams in a college for the years 2020 and 2021. For the year 2022, it is projected that the enrollment in the Commerce stream will be 20% higher than in 2021, and the enrollment in the Science stream will be 15% lower than in 2020. What is the projected difference between the number of students in the Commerce and Science streams in 2022?",Bar Graph_1766391512387.png,"{""1"":""188"",""2"":""205"",""3"":""260"",""4"":""108""}",1.0,"To solve this problem, we need to calculate the projected number of students for the Commerce and Science streams in 2022 based on the data from the graph.

First, find the number of Commerce students in 2021 from the graph, which is 440. The projection for 2022 is a 20% increase. So, the projected number of Commerce students in 2022 is 440 * (1 + 20/100) = 440 * 1.20 = 528.

Next, find the number of Science students in 2020 from the graph, which is 400. The projection for 2022 is a 15% decrease. So, the projected number of Science students in 2022 is 400 * (1 - 15/100) = 400 * 0.85 = 340.

Finally, calculate the difference between the projected numbers for these two streams in 2022: 528 (Commerce) - 340 (Science) = 188.

Option 2 is incorrect because it mistakenly uses the Science enrollment from 2021 as the base for the calculation (380 * 0.85 = 323), leading to a difference of 528 - 323 = 205. Option 3 is incorrect as it mistakenly uses the Commerce enrollment from 2020 as the base (500 * 1.20 = 600), resulting in a difference of 600 - 340 = 260. Option 4 is incorrect because it reverses the percentage changes, calculating a 15% increase for Science and a 20% decrease for Commerce.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Bar_Graph_1766391512387.png?
21.0,Data Interpretation,Bar Graph,hard,The bar graph displays the Projected Budget and Actual Expenditure (in millions of USD) for five departments of a company. A new policy dictates that the total surplus from all departments that underspent (Projected Budget > Actual Expenditure) will be collected. This collected amount is then distributed equally among all departments that overspent (Actual Expenditure > Projected Budget). What is the total combined deficit remaining for the overspending departments after this distribution is applied?,Bar Graph_1766391601774.png,"{""1"":""50 million USD"",""2"":""21 million USD"",""3"":""29 million USD"",""4"":""43 million USD""}",3.0,"1. Identify departments that underspent and calculate the total surplus.
- Department P: Projected = 80, Actual = 71. Surplus = 80 - 71 = 9 million.
- Department S: Projected = 60, Actual = 48. Surplus = 60 - 48 = 12 million.
- Total Surplus collected = 9 + 12 = 21 million USD.

2. Identify departments that overspent and calculate their initial total deficit.
- Department Q: Projected = 50, Actual = 75. Deficit = 75 - 50 = 25 million.
- Department R: Projected = 90, Actual = 100. Deficit = 100 - 90 = 10 million.
- Department T: Projected = 70, Actual = 85. Deficit = 85 - 70 = 15 million.
- Total Initial Deficit = 25 + 10 + 15 = 50 million USD.

3. Distribute the total surplus among the overspending departments.
- Number of overspending departments = 3 (Q, R, T).
- Amount distributed to each overspending department = Total Surplus / 3 = 21 / 3 = 7 million USD.

4. Calculate the remaining deficit for each overspending department and sum them up.
- Department Q's remaining deficit = Initial Deficit - Amount Received = 25 - 7 = 18 million.
- Department R's remaining deficit = Initial Deficit - Amount Received = 10 - 7 = 3 million.
- Department T's remaining deficit = Initial Deficit - Amount Received = 15 - 7 = 8 million.
- Total Remaining Deficit = 18 + 3 + 8 = 29 million USD.

Therefore, the correct answer is 29 million USD.

- Option 1 (50 million USD) is incorrect because it represents the total initial deficit before the surplus is redistributed.
- Option 2 (21 million USD) is incorrect because it is the total surplus collected from the underspending departments, not the final deficit.
- Option 4 (43 million USD) is incorrect. This might result from a calculation error, such as subtracting the per-department distribution (7 million) from the total initial deficit (50 million), which is logically flawed.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Bar_Graph_1766391601774.png?
22.0,Data Interpretation,Pie Chart,easy,The given pie chart illustrates the percentage distribution of favorite food choices among a group of 400 students. How many students chose 'Burger' as their favorite food?,Pie Chart_1766391664131.png,"{""1"":""120"",""2"":""180"",""3"":""60"",""4"":""30""}",1.0,"To find the number of students who chose 'Burger', we need to calculate the percentage for 'Burger' from the total number of students.

From the pie chart, the percentage of students who chose 'Burger' is 30%.
The total number of students is 400.
Number of students who chose 'Burger' = 30% of 400 = (30 / 100) * 400 = 120.

Option 2 (180) is incorrect as it represents the number of students who chose Pizza (45% of 400). Option 3 (60) is incorrect as it represents the number of students who chose Pasta (15% of 400). Option 4 (30) is incorrect as it is the percentage value, not the actual number of students.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Pie_Chart_1766391664131.png?
23.0,Data Interpretation,Pie Chart,medium,"The given pie chart illustrates the percentage distribution of 12,000 students across five different academic streams in a university. In the Science stream, 50% of the students are female. In the Medical stream, the number of female students is 25% of the number of male students. What is the total number of male students in the Science and Medical streams combined?",Pie Chart_1766391764930.png,"{""1"":""2160"",""2"":""2100"",""3"":""1440"",""4"":""2400""}",1.0,"To solve this problem, we need to calculate the number of male students in the Science and Medical streams separately and then add them.

First, let's find the number of students in the Science stream. According to the pie chart, Science students constitute 20% of the total.
Total Science students = 20% of 12,000 = 0.20 * 12,000 = 2,400.
The question states that 50% of Science students are female, which means the remaining 50% must be male.
Male students in Science = 50% of 2,400 = 0.50 * 2,400 = 1,200.

Next, let's find the number of students in the Medical stream. The pie chart shows this is 10% of the total.
Total Medical students = 10% of 12,000 = 0.10 * 12,000 = 1,200.
The number of female students (F) is 25% of the number of male students (M), so F = 0.25 * M.
The total number of students in the stream is the sum of males and females: M + F = 1,200.
Substituting F, we get: M + (0.25 * M) = 1,200, which simplifies to 1.25 * M = 1,200.
Solving for M: M = 1,200 / 1.25 = 960. So, there are 960 male students in the Medical stream.

Finally, the total number of male students in both streams combined is the sum of the male students from each stream.
Total male students = 1,200 (from Science) + 960 (from Medical) = 2,160.

Option 2 (2100) is incorrect. It results from incorrectly calculating females as 25% of the total Medical students (25% of 1200 = 300 females, so 900 males), leading to a total of 1200 + 900 = 2100.
Option 3 (1440) is incorrect. This happens if the relationship in the Medical stream is reversed (males being 25% of females), leading to 240 males and a total of 1200 + 240 = 1440.
Option 4 (2400) is incorrect. This comes from adding the male students from Science (1200) to the total students from Medical (1200), i.e., 1200 + 1200 = 2400.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Pie_Chart_1766391764930.png?
24.0,Data Interpretation,Pie Chart,hard,"The pie charts below show the percentage distribution of employees across five departments (A, B, C, D, and E) of a company in two different years. From Year 1 to Year 2, the total number of employees in the company increased by 20%. During this period, the number of employees in Department C increased by 420. What was the difference between the number of employees in Department D in Year 1 and the number of employees in Department A in Year 2?",Pie Chart_1766391840694.png,"{""1"":""168"",""2"":""252"",""3"":""420"",""4"":""960""}",1.0,"Let the total number of employees in Year 1 be T1 and in Year 2 be T2.

According to the problem, the total number of employees increased by 20% from Year 1 to Year 2. This gives us our first equation:
T2 = T1 + (20/100)*T1 = 1.2 * T1.

The second condition states that the number of employees in Department C increased by 420. From the pie charts, the percentage of employees in Department C is 15% in Year 1 and 25% in Year 2. This gives us our second equation:
(25% of T2) - (15% of T1) = 420
0.25 * T2 - 0.15 * T1 = 420.

Now, we solve this system of two equations. Substitute T2 = 1.2 * T1 into the second equation:
0.25 * (1.2 * T1) - 0.15 * T1 = 420
0.30 * T1 - 0.15 * T1 = 420
0.15 * T1 = 420
T1 = 420 / 0.15 = 2800.
So, the total employees in Year 1 were 2800.

Now we can find the total employees in Year 2:
T2 = 1.2 * T1 = 1.2 * 2800 = 3360.

The question asks for the difference between the number of employees in Department D in Year 1 and Department A in Year 2.
Number of employees in Department D in Year 1 = 30% of T1 = 0.30 * 2800 = 840.
Number of employees in Department A in Year 2 = 20% of T2 = 0.20 * 3360 = 672.

The required difference is 840 - 672 = 168.

Option 2 (252) is incorrect. It arises if one misinterprets the condition as comparing the number of employees in Department C in Year 2 with Department B in Year 1, leading to T1=4200 and T2=5040.

Option 3 (420) is incorrect. This value is obtained if one incorrectly assumes the total number of employees is the same in both years (T1=T2). In that case, (0.25T - 0.15T) = 420, so 0.1T = 420 and T=4200. The requested difference would then be (0.30*4200) - (0.20*4200) = 0.10 * 4200 = 420.

Option 4 (960) is incorrect. This results from incorrectly reversing the percentage increase relationship, assuming T1 = 1.2 * T2. This would lead to T2=6000 and T1=7200, and a final difference of 960.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Pie_Chart_1766391840694.png?
25.0,Data Interpretation,Line Graph,easy,Refer to the line graph showing the monthly car sales of a dealership. In which month were exactly 60 cars sold?,Line Graph_1766391886536.png,"{""1"":""January"",""2"":""February"",""3"":""April"",""4"":""June""}",3.0,"To find the answer, locate the value 60 on the vertical axis (Y-axis), which represents the number of cars sold. Trace a horizontal line from this point to the right until it intersects with a data point on the graph. From that data point, trace a vertical line down to the horizontal axis (X-axis) to identify the corresponding month. This process shows that 60 cars were sold in April. The other options are incorrect: 40 cars were sold in January, 55 in February, and 75 in June.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Line_Graph_1766391886536.png?
26.0,Data Interpretation,Line Graph,medium,"Refer to the line graph showing the annual production of two car models. What is the difference (in thousands) between the total production of Model A from 2016 to 2018 inclusive, and the total production of Model B from 2017 to 2019 inclusive?",Line Graph_1766391996658.png,"{""1"":""15"",""2"":""5"",""3"":""10"",""4"":""265""}",1.0,"To solve this problem, we need to calculate the total production for each model over the specified periods and then find the difference between these totals.

First, calculate the total production of Model A from 2016 to 2018. From the graph, the production values for Model A are: 40 (in 2016), 35 (in 2017), and 50 (in 2018). The sum is 40 + 35 + 50 = 125 thousand units.

Next, calculate the total production of Model B from 2017 to 2019. From the graph, the production values for Model B are: 45 (in 2017), 40 (in 2018), and 55 (in 2019). The sum is 45 + 40 + 55 = 140 thousand units.

Finally, find the difference between the two totals: 140 - 125 = 15 thousand units. Therefore, the correct answer is 15.

Option 2 (5) is incorrect. This result might be obtained by misreading the production of Model A in 2017 as 45 instead of 35, which would lead to a total of 135 for Model A and a difference of |135 - 140| = 5.

Option 3 (10) is incorrect. This could be the result of misreading the production of Model B in 2019 as 50 instead of 55. This would make the total for Model B equal to 45 + 40 + 50 = 135, and the difference would be |125 - 135| = 10.

Option 4 (265) is incorrect. This value is the sum of the two totals (125 + 140 = 265), not the difference.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Line_Graph_1766391996658.png?
27.0,Data Interpretation,Line Graph,hard,"The line graph shows the Revenue and Expenditure of two companies, A and B, from 2018 to 2023. If 'Profit' is defined as (Revenue - Expenditure), in which year was the absolute difference between the Profit as a percentage of Revenue for Company A and the Profit as a percentage of Revenue for Company B the second highest?",Line Graph_1766392074057.png,"{""1"":""2020"",""2"":""2021"",""3"":""2022"",""4"":""2019""}",3.0,"To solve this question, we must first calculate the 'Profit as a percentage of Revenue' for each company for every year. The formula for this is ((Revenue - Expenditure) / Revenue) * 100. Let's call this the 'Profit Percentage'.

For Company A:
- 2018: Profit = 40-30 = 10. Profit % = (10/40)*100 = 25.00%
- 2019: Profit = 55-40 = 15. Profit % = (15/55)*100 ˜ 27.27%
- 2020: Profit = 50-45 = 5. Profit % = (5/50)*100 = 10.00%
- 2021: Profit = 70-50 = 20. Profit % = (20/70)*100 ˜ 28.57%
- 2022: Profit = 80-65 = 15. Profit % = (15/80)*100 = 18.75%
- 2023: Profit = 95-70 = 25. Profit % = (25/95)*100 ˜ 26.32%

For Company B:
- 2018: Profit = 35-25 = 10. Profit % = (10/35)*100 ˜ 28.57%
- 2019: Profit = 45-35 = 10. Profit % = (10/45)*100 ˜ 22.22%
- 2020: Profit = 60-40 = 20. Profit % = (20/60)*100 ˜ 33.33%
- 2021: Profit = 65-55 = 10. Profit % = (10/65)*100 ˜ 15.38%
- 2022: Profit = 75-50 = 25. Profit % = (25/75)*100 ˜ 33.33%
- 2023: Profit = 85-60 = 25. Profit % = (25/85)*100 ˜ 29.41%

Next, we find the absolute difference between these percentages for each year:
- 2018: |25.00% - 28.57%| = 3.57%
- 2019: |27.27% - 22.22%| = 5.05%
- 2020: |10.00% - 33.33%| = 23.33%
- 2021: |28.57% - 15.38%| = 13.19%
- 2022: |18.75% - 33.33%| = 14.58%
- 2023: |26.32% - 29.41%| = 3.09%

Ranking these differences from highest to lowest: 
1. 2020 (23.33%)
2. 2022 (14.58%)
3. 2021 (13.19%)

The second highest absolute difference occurred in 2022. Therefore, option 3 is the correct answer.
Option 1 is incorrect because 2020 had the highest difference, not the second highest. Option 2 is incorrect because 2021 had the third highest difference. Option 4 is incorrect because the difference in 2019 was relatively low.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Line_Graph_1766392074057.png?
28.0,Data Interpretation,Histogram,easy,The provided histogram illustrates the time taken by a group of athletes to complete a 100-meter race. How many athletes completed the race in the time interval of 12 to 14 seconds?,Histogram_1766392120503.png,"{""1"":""10"",""2"":""15"",""3"":""14"",""4"":""5""}",2.0,"The correct option is 2.

The histogram displays class intervals (time in seconds) on the x-axis and the frequency (number of athletes) on the y-axis. To find the number of athletes who completed the race between 12 and 14 seconds, we need to find the bar that corresponds to the '12-14' interval on the x-axis. The height of this bar represents the frequency. Looking at the graph, the height of the bar for the 12-14 second interval reaches the value 15 on the y-axis. Therefore, 15 athletes completed the race in that time.

Option 1 (10) is incorrect because it represents the number of athletes in the 14-16 second interval.
Option 3 (14) is incorrect because it is the upper limit of the time interval on the x-axis, not the number of athletes on the y-axis.
Option 4 (5) is incorrect because it represents the number of athletes in the 10-12 second interval.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Histogram_1766392120503.png?
